Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-04-15,META,元宇宙(Facebook),Stock,14845156,Strong + Div,Short,38.8%,XGB:0.50|LGB:0.40|LR:0.40|N:332|Base:0.37,Doji (十字星),107.58,92.35,671.58,21.19,713.96,11,7387
2026-04-14,IWM,罗素2000指数ETF,Index ETF,23637678,Strong + Div,Short,39.8%,XGB:0.72|LGB:0.81|LR:0.41|N:329|Base:0.33,Doji (十字星),107.02,93.17,268.72,5.4,279.52,46,12361
2026-04-14,AVGO,,Stock,23237703,Strong + Div,Short,44.6%,XGB:0.68|LGB:0.70|LR:0.79|N:331|Base:0.34,Doji (十字星),111.21,104.5,380.78,12.74,406.26,19,7234
2026-04-13,AMD,超威半导体,Stock,21577252,Strong + Div,Short,39.5%,XGB:0.58|LGB:0.57|LR:0.53|N:330|Base:0.32,Doji (十字星),105.94,108.68,246.83,9.87,266.57,25,6170
2026-04-13,TSLA,特斯拉,Stock,52761941,Strong,Long,38.4%,XGB:0.53|LGB:0.44|LR:0.45|N:330|Base:0.35,"Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星)",28.99,12.28,352.42,14.26,323.9,17,5991
2026-04-10,TSLA,特斯拉,Stock,50310339,Strong,Long,36.1%,XGB:0.40|LGB:0.38|LR:0.45|N:329|Base:0.34,"Doji (十字星), Doji (十字星), Doji (十字星)",19.03,4.29,348.95,14.76,319.43,16,5583
2026-04-09,TSLA,特斯拉,Stock,61134264,Strong,Long,39.2%,XGB:0.53|LGB:0.51|LR:0.46|N:328|Base:0.34,"Doji (十字星), Doji (十字星)",11.45,1.67,345.62,15.3,315.02,16,5529
2026-04-08,AMD,超威半导体,Stock,34355712,Strong,Short,33.4%,XGB:0.43|LGB:0.22|LR:0.45|N:327|Base:0.33,Doji (十字星),104.77,85.76,231.82,10.31,252.44,24,5563
2026-04-08,TSLA,特斯拉,Stock,78262380,Strong + Div,Long,42.3%,XGB:0.66|LGB:0.63|LR:0.50|N:327|Base:0.35,Doji (十字星),8.8,-0.19,343.25,15.59,312.07,16,5492
2026-04-07,TSLA,特斯拉,Stock,68823279,Strong + Div,Long,44.3%,XGB:0.70|LGB:0.74|LR:0.52|N:326|Base:0.35,Doji (十字星),13.48,2.48,346.65,14.88,316.89,16,5546
